ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12012693,JD189838,03/18/2020 11:36:00 AM,096XX S MERRION AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,0431,004,7,51,06,1192667,1841608,2020,03/25/2020 03:47:29 PM,41.72034172,-87.569902685,"(41.72034172, -87.569902685)"
12012699,JD189885,03/18/2020 05:50:00 PM,048XX S CALUMET AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,OTHER (SPECIFY),false,false,0224,002,3,38,08A,1179248,1873096,2020,03/25/2020 03:47:29 PM,41.807064211,-87.618093625,"(41.807064211, -87.618093625)"
12012061,JD189117,03/18/2020 12:37:00 AM,044XX W PARKER AVE,0460,BATTERY,SIMPLE,RESIDENCE,false,false,2524,025,31,20,08B,1146233,1917876,2020,03/25/2020 03:47:29 PM,41.930636171,-87.738044553,"(41.930636171, -87.738044553)"
12012826,JD189977,03/18/2020 10:40:00 PM,025XX W 60TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,0824,008,16,66,14,1160256,1864786,2020,03/25/2020 03:47:29 PM,41.784673072,-87.687979338,"(41.784673072, -87.687979338)"
12012435,JD189544,03/18/2020 01:30:00 PM,039XX W FULLERTON AVE,031A,ROBBERY,ARMED - HANDGUN,GAS STATION,false,false,2525,025,35,22,03,1149497,1915660,2020,03/25/2020 03:47:29 PM,41.924492457,-87.726107642,"(41.924492457, -87.726107642)"
12012452,JD189399,03/18/2020 11:10:00 AM,067XX S COTTAGE GROVE AVE,0420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,SIDEWALK,false,false,0321,003,20,42,04B,1182717,1860597,2020,03/25/2020 03:47:29 PM,41.77268594,-87.605758495,"(41.77268594, -87.605758495)"
12012940,JD190102,03/18/2020 02:00:00 PM,023XX W FULTON ST,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,1223,012,27,28,06,1160812,1901952,2020,03/25/2020 03:47:29 PM,41.886649244,-87.684912154,"(41.886649244, -87.684912154)"
12012767,JD189917,03/18/2020 08:50:00 PM,048XX N ST LOUIS AVE,0460,BATTERY,SIMPLE,RESIDENCE - YARD (FRONT / BACK),false,false,1712,017,33,14,08B,1152178,1931885,2020,03/25/2020 03:47:29 PM,41.968962543,-87.715826929,"(41.968962543, -87.715826929)"
12013014,JD190180,03/18/2020 12:01:00 AM,086XX S VINCENNES AVE,0810,THEFT,OVER $500,STREET,false,false,0622,006,21,71,06,1172965,1847983,2020,03/25/2020 03:47:29 PM,41.738292376,-87.641878134,"(41.738292376, -87.641878134)"
12012285,JD189260,03/18/2020 06:00:00 AM,058XX W DIVISION ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,OTHER (SPECIFY),false,false,1511,015,29,25,04B,1137347,1907404,2020,03/25/2020 03:47:29 PM,41.902064444,-87.770951454,"(41.902064444, -87.770951454)"
